Name,WikiTitle,WikiPageId
Arron Oberholser,Q700296,4055141
Beverly Hills,Q127856,75346
Magic Sam,Q549960,1439124
Jane Anderson,Q3161843,6826619
Ruxandra Donose,Q274760,18685969
Tom Baxter,Q3530657,6102578
Jacob Mendez Da Costa,Q676958,5774721
Deborah Gordon,Q2310251,4806911
Timothy Mosley,Q179257,401017
Jim Curry,Q16023212,20429824
Emanuel Ungaro,Q529203,3125223
Richard Thorpe,Q216748,1090635
Abu Abdullah,Q4670040,26470782
Mithun Chakraborty,Q379604,1158886
Ainhoa Arteta,Q255267,21131733
Matt Roloff,Q6077417,4644401
Black Dice,Q880218,3727984
Clive Coates,Q1101881,2404475
Mieczyslaw Malinski,Q6843569,26823429
David Kinch,Q5236013,32693859
Jim Reid,Q6066866,2043917
Chip Ambres,Q5101469,9486140
Herbert Fields,Q1608254,6672530
Friar Galvao,Q469209,3558057
Benita Johnson,Q274104,9381021
Sam Amidon,Q7407099,19427024
Amanda Burden,Q4739580,5344655
Diana Buttu,Q5271113,2475638
Sergio Castillo,Q15032131,39274230
Frank Coffey,Q19873534,46359869
De Bry,Q708961,4447098
Peter G. Fitzgerald,Q1344425,334962
Ying Liang,Q16216855,11016200
Hugh Panero,Q5932235,3155381
R. Donahue Peebles,Q7273582,7400235
Ellen Robbins,Q19667149,45692829
Howard Fineman,Q168083,2851849
Steve Friess,Q7612595,17704185
Grant Strate,Q5596465,6309974
Roger Lowenstein,Q7358550,1219851
Sarah Leah Whitson,Q7422528,24275645
Robert F. X. Sillerman,Q7344232,7647867
Charlie Watts,Q216051,234297
David Apolskis,Q471873,10066043
Bobby Knight,Q888594,4871
John Agresto,Q6218314,8737465
Dave Della Terza,Q7942131,4936014
Georg Ganswein,Q60628,1800378
Charles Eisen,Q2744998,33775697
Isadore Sharp,Q11286493,1697443
Stewart Wade,Q7615965,27042469
Jayson Williams,Q1616713,706880
Brian Schmidt,Q201452,6231333
Liz Deschenes,Q16196424,41812893
Victor Sjostrom,Q55170,1079901
Albert Salmi,Q1382927,2520518
Mats Wilander,Q16475,200446
Janet Robertson,Q6153575,32298216
Frank Tashlin,Q589459,198400
Peter Akinola,Q1754450,297277
Robert B. Aderholt,Q672671,407889
Michael K,Q761474,3756259
Max Boot,Q3890747,772445
Stan Getz,Q30587,307715
Michael Lind,Q6832245,2063862
James S. Snyder,Q6142702,33279576
Andrew Chapman,Q1863017,5717833
Urs Fischer,Q503641,15046213
Bill Bean,Q723147,320686
Anatole Taubman,Q487548,18595110
Martin Fisher,Q3295338,15330733
Vega Sicilia,Q1856180,3621407
Lawrence Kasdan,Q240872,478614
Jeffrey Toobin,Q6176320,2620274
Martin C. Jischke,Q6775104,1308961
Ilich Ramirez Sanchez,Q222831,19654013
Joan Graves,Q6205072,10928982
Noordin Top,Q470722,2815454
Johnny Sturm,Q6267748,19191244
Nihad Awad,Q7034187,1906537
Bala Cynwyd,Q804572,671433
Kui Lee,Q6442220,7363270
Youk Chhang,Q17064533,40155926
Helio Alves,Q2722433,6684353
Robbie Keane,Q184612,625371
Michael Fabiano,Q6830192,28762203
Christian Menzel,Q97137,23409948
Brian Mcknight,Q1153370,921221
Siem Reap,Q11711,6658464
Ahmed Chalabi,Q400837,211367
Vincenzo Natali,Q610764,2524507
Darren Cahill,Q916113,2599091
Torquil Campbell,Q7826809,3082199
Plum Sykes,Q1243147,5291646
Barbara D. Underwood,Q807392,13612249
Ahmed Hassan,Q42231,4027276
Jane Siberry,Q275535,222737
Freddie Prinze Jr,Q309756,458428
Katsunosuke Hori,Q4118231,1147959
Cole Konrad,Q1107978,6212623
Amy Johnston,Q2998,184413
Stanislaw W. Wielgus,Q350429,8335820
Mark Mansfield,Q19864745,46444413
James Gamble Rogers,Q6134465,1640922
Jill Furman,Q6192834,29888738
Johnny Burke,Q976998,7577000
Daniel Hackett,Q944705,36320319
Sonny Werblin,Q7562130,330170
Reggie Smith,Q7308312,2666972
Bonnie Cohen,Q14948710,27934622
James Jeffords,Q1386836,319835
Alice Moran,Q16232292,38964613
Desmond Howard,Q509646,1474449
Sharon Olds,Q3180469,1439747
Brandon Torrey,Q4957094,13683427
Ken Boyer,Q6136026,1376795
Laurence Bennett,Q3218860,34495280
Goose Gossage,Q869147,606926
Emmerich Kalman,Q153818,368673
Andrej Meszaros,Q502970,3004363
Leo Castelli Gallery,Q553617,4369933
Todd Wagner,Q7812693,926216
Tadanobu Asano,Q379824,265736
Howard Taubman,Q5921009,5464391
Jean Vigo,Q55395,161933
William T. Cunningham,Q8019047,16064898
Wolfgang Voigt,Q85367,3356472
Muslim Arab,Q4783216,25390946
Moussa Abu Marzouk,Q125976,2237131
C. Fred Bergsten,Q5006458,6901281
Oleg Kalugin,Q938110,868588
Tang Jiaxuan,Q463926,1585055
Bob Kipper,Q4933039,9998855
Joe Chapman,Q6209066,29058761
Fred Lieberman,Q5499396,32258023
Jim Ryun,Q1345537,88790
Fyodor Lopukhov,Q3067957,45527927
Avigdor Lieberman,Q58311,1704303
Hernan Iribarren,Q3134290,15716944
Lawrence Scanlan,Q6504567,24006452
Craig Ferguson,Q72867,1254035
Raul M. Grijalva,Q946606,408529
Ryan Ellsworth,Q7384044,34904814
Vinicio Capossela,Q1052770,9107813
Howard Weinstein,Q19666600,44125358
Elvir Muriqi,Q3300647,16873020
Vinny Perretta,Q7932691,22595776
Teddy Thompson,Q524060,4717414
Maurice Tempelsman,Q6793497,1343145
Steve Lambert,Q7613100,15469621
Eric Keroack,Q5386879,8061944
Randall Rothenberg,Q7291602,20794230
Gilbert White,Q772840,226295
Karen Elson,Q2076087,909669
Hyman G. Rickover,Q541637,42345
Mary Anne,Q6778931,17168821
Carlos Pena,Q1043157,1570901
Herb Williams,Q2345237,1996500
Oliver Ryan,Q7087802,18301240
Vickie Winans,Q7925464,5233374
Marcel Broodthaers,Q834926,1168528
